id;name;type;category;remind_date;recurring_time
1;withdrawal Avon rich;SINGLE;PERSONAL;2023-08-22;15584
2;Washington;RECURRING;HOME;2023-08-22;41718
3;Baby withdrawal Rubber;ONGOING;PERSONAL;2023-08-22;99818
4;Central circuit;SINGLE;PERSONAL;2023-08-21;96296
5;Quality proactive;SINGLE;HOME;2023-08-22;97652
6;hacking;SINGLE;HOME;2023-08-22;79811
7;web-enabled Bacon Health;SINGLE;PERSONAL;2023-08-22;6225
8;bypass;RECURRING;HOME;2023-08-22;39138
9;Checking Intelligent programming;SINGLE;OTHER;2023-08-22;55150
10;Plastic Engineer navigate;RECURRING;OTHER;2023-08-22;17359
